line_number,subject_ids,image_number,user_name,workflow_id,workflow_version,classification_id,created_at,elasped_time,image_size,first_task,H palm,flowering,leafless
11968,4992620,20161006_Zone5_S3_158,QIe56d1e90,3130,1.13,23164209,2016-12-12 15:03:47 UTC,0:00:18,"[1995, 1500]",Yes,"[[277, 1095, 535, ""h""], [1641, 1016, 301, ""h""]]",[],[]
11969,4982431,20161003_Zone4_S1_109,Visitor,3130,1.13,23164213,2016-12-12 15:03:55 UTC,0:00:31,"[2000, 1500]",Yes,[],[],[]
11970,4989066,20161006_Zone3_S4_1070,QIe56d1e90,3130,1.13,23164215,2016-12-12 15:03:55 UTC,0:00:06,"[2000, 1500]",No,[],[],[]
11971,4988747,20161006_Zone3_S4_0935,Visitor,3130,1.13,23164216,2016-12-12 15:03:56 UTC,0:01:00,"[2000, 1500]",Yes,"[[1253, 520, 84, ""h""], [1130, 641, 64, ""h""], [1000, 664, 56, ""h""], [927, 1066, 49, ""h""], [690, 931, 54, ""h""], [667, 736, 66, ""h""], [507, 418, 74, ""h""], [264, 1089, 46, ""h""], [1378, 1362, 84, ""h""]]","[[416, 868, 98, ""f""], [1892, 759, 90, ""f""], [758, 376, 139, ""f""]]","[[1692, 803, 77, ""l""], [53, 854, 87, ""l""], [225, 722, 114, ""l""], [418, 713, 79, ""l""], [597, 541, 73, ""l""]]"
11972,4992024,20161006_Zone5_S2_090,OwenEdmonds,3130,1.13,23164218,2016-12-12 15:03:59 UTC,0:00:27,"[2000, 1500]",Yes,"[[733, 952, 251, ""h""], [627, 1235, 219, ""h""], [1889, 765, 220, ""h""]]","[[62, 1113, 229, ""f""]]","[[405, 86, 221, ""l""]]"
11973,4984617,20161003_Zone4_S4_217,QIe56d1e90,3130,1.13,23164221,2016-12-12 15:04:02 UTC,0:00:06,"[2000, 1500]",No,[],[],[]
11974,4993838,20161004_Zone6_S4_067,meceyildirim,3130,1.13,23164227,2016-12-12 15:04:09 UTC,0:00:41,"[1200, 900]",No,[],[],[]
11975,4993471,20161004_Zone6_S3_030,esilverb,3130,1.13,23164234,2016-12-12 15:04:20 UTC,0:01:40,"[1197, 900]",Yes,[],"[[676, 69, 80, ""f""]]","[[1084, 550, 106, ""l""], [978, 401, 78, ""l""], [766, 471, 60, ""l""], [804, 340, 84, ""l""], [308, 342, 108, ""l""]]"
11976,4985898,20161006_Zone3_S2_0391,dmpeterson82,3130,1.13,23164236,2016-12-12 15:04:22 UTC,0:01:51,"[2000, 1500]",No,[],[],[]
11977,4984315,20161003_Zone4_S3_363,Carolo52,3130,1.13,23164239,2016-12-12 15:04:24 UTC,0:01:16,"[1995, 1500]",Yes,[],"[[99, 449, 187, ""f""]]","[[1426, 1441, 93, ""l""]]"
11978,4990487,20161007_Zone2_S3_146,meceyildirim,3130,1.13,23164242,2016-12-12 15:04:28 UTC,0:00:14,"[998, 750]",No,[],[],[]
11979,4985095,20161006_Zone3_S1_0075,jennyr35,3130,1.13,23164243,2016-12-12 15:04:28 UTC,0:00:43,"[749, 562]",Yes,[],[],"[[640, 148, 226, ""l""], [42, 232, 203, ""l""]]"
11980,4989330,20161007_Zone1_S1_104,QIefa4d0d7,3130,1.13,23164244,2016-12-12 15:04:29 UTC,0:01:51,"[900, 675]",Yes,"[[467, 354, 33, ""h""], [472, 317, 33, ""h""], [744, 88, 34, ""h""]]",[],[]
11981,4989991,20161007_Zone2_S2_018,Bez,3130,1.13,23164245,2016-12-12 15:04:29 UTC,0:00:56,"[900, 675]",Yes,[],[],"[[551, 41, 155, ""l""]]"
11982,4984720,20161003_Zone4_S4_285,OwenEdmonds,3130,1.13,23164249,2016-12-12 15:04:30 UTC,0:00:31,"[2000, 1500]",Yes,[],"[[418, 120, 175, ""f""]]","[[1062, 595, 501, ""l""]]"
11983,4989066,20161006_Zone3_S4_1070,Visitor,3130,1.13,23164251,2016-12-12 15:04:32 UTC,0:02:59,"[2000, 1500]",No,[],[],[]
11984,4991678,20161006_Zone5_S1_137,Visitor,3130,1.13,23164253,2016-12-12 15:04:33 UTC,0:02:02,"[2000, 1500]",Yes,"[[1046, 950, 221, ""h""]]",[],"[[641, 609, 90, ""l""], [1248, 1250, 185, ""l""]]"
11985,4991771,20161006_Zone5_S1_180,bethgg,3130,1.13,23164268,2016-12-12 15:04:52 UTC,0:00:43,"[2000, 1500]",Yes,[],[],[]
11986,4989827,20161007_Zone2_S1_121,QIefa4d0d7,3130,1.13,23164271,2016-12-12 15:04:55 UTC,0:00:25,"[800, 600]",Yes,"[[583, 320, 35, ""h""]]",[],"[[551, 207, 46, ""l""]]"
11987,4989555,20161007_Zone1_S3_089,Visitor,3130,1.13,23164281,2016-12-12 15:05:07 UTC,0:00:32,"[898, 675]",Yes,[],"[[249, 226, 114, ""f""]]",[]
11988,4988404,20161006_Zone3_S3_0787,jennyr35,3130,1.13,23164286,2016-12-12 15:05:14 UTC,0:00:44,"[1197, 900]",Yes,"[[956, 507, 101, ""h""]]",[],"[[217, 108, 171, ""l""]]"
11989,4993131,20161004_Zone6_S1_137,Nauter,3130,1.13,23164296,2016-12-12 15:05:29 UTC,0:01:44,"[1300, 975]",Yes,"[[977, 837, 69, ""h""]]","[[47, 138, 175, ""f""], [592, 355, 229, ""f""]]","[[1219, 896, 88, ""l""]]"
11990,4990963,20161007_Zone2_S4_127,QIefa4d0d7,3130,1.13,23164298,2016-12-12 15:05:31 UTC,0:00:34,"[1060, 795]",Yes,"[[1019, 431, 47, ""h""]]",[],[]
11991,4989971,20161007_Zone2_S1_265,meceyildirim,3130,1.13,23164303,2016-12-12 15:05:37 UTC,0:01:08,"[800, 600]",Yes,[],[],"[[464, 258, 77, ""l""]]"
11992,4993188,20161004_Zone6_S2_027,QIefa4d0d7,3130,1.13,23164316,2016-12-12 15:05:53 UTC,0:00:22,"[1100, 825]",Yes,"[[849, 369, 63, ""h""]]",[],[]
11993,4982645,20161003_Zone4_S1_323,akzeigler,3130,1.13,23164318,2016-12-12 15:05:54 UTC,0:17:18,"[2000, 1500]",Yes,"[[1637, 137, 157, ""h""], [1793, 733, 161, ""h""]]",[],[]
11994,4986956,20161006_Zone3_S2_0574,jennyr35,3130,1.13,23164319,2016-12-12 15:05:54 UTC,0:00:37,"[2000, 1500]",Yes,[],"[[940, 800, 287, ""f""]]","[[564, 123, 249, ""l""], [557, 614, 142, ""l""]]"
11995,4989777,20161007_Zone2_S1_071,Bez,3130,1.13,23164320,2016-12-12 15:05:55 UTC,0:01:20,"[800, 600]",Yes,"[[264, 368, 65, ""h""]]","[[220, 524, 96, ""f""]]",[]
11996,4989966,20161007_Zone2_S1_260,esilverb,3130,1.13,23164324,2016-12-12 15:06:01 UTC,0:01:39,"[800, 600]",Yes,[],[],"[[474, 210, 79, ""l""], [766, 322, 37, ""l""], [56, 542, 64, ""l""], [668, 532, 66, ""l""]]"
11997,4983464,20161003_Zone4_S2_307,OwenEdmonds,3130,1.13,23164328,2016-12-12 15:06:06 UTC,0:01:36,"[2000, 1500]",Yes,"[[1070, 999, 256, ""h""], [1499, 957, 155, ""h""], [1668, 687, 117, ""h""], [1651, 155, 129, ""h""], [1821, 495, 219, ""h""]]","[[1444, 715, 148, ""f""], [1124, 306, 356, ""f""]]","[[739, 1281, 348, ""l""], [1447, 1408, 208, ""l""]]"
11998,4983528,20161003_Zone4_S2_340,Carolo52,3130,1.13,23164331,2016-12-12 15:06:11 UTC,0:01:46,"[2000, 1500]",Yes,[],"[[1407, 986, 635, ""f""], [681, 271, 96, ""f""], [1991, 25, 337, ""f""]]","[[47, 1427, 83, ""l""]]"
11999,4993441,20161004_Zone6_S3_014,Visitor,3130,1.13,23164332,2016-12-12 15:06:11 UTC,0:03:26,"[1197, 900]",No,[],[],[]
